Complex_Sentence_ID,Annotated_Triples
CS001,"(She; compiled; crosswords),(James; compiled; crosswords),(She and James; compiled; crosswords),(crosswords; for; multiple newspapers and magazines),(They; Started; Publishing company),(Publishing company; Started; 1978)"
CS002,"(Mantell; born in; Bridgwater),(Mantell; born in; Somerset),(He; studied at; University of Bath)"
CS003,"(Mantell; born in; Bridgwater Somerset),(He; studied at; University of Bath)"
CS004,"(Toby Irwin; was unaware of; situation),(Irwin; ended; fight),(Campbell; fell to; ground)"
CS005,"(Yazan Halwani; is a; street artist),(Yazan Halwani; is from; Beirut),(Yazan Halwani; is from; Beirut Lebanon),(He; paints; murals),(He; combines; renewed Arabic calligraphy and portraits)"
CS006," (The Catholic Institute of Sydney; deliver; theological studies),(It; provides; undergraduate qualification),(It; provides; postgraduate qualification),(students; prepare for; ordination to the priesthood),(It; prepare; students),(Sydney College of Divinity; is a member institution of; It)"
CS007,"(Catholic Institute of Sydney; is; tertiary educational facility),(Sydney College of Divinity; is a member institution of; It),(It; delivers; theological studies),(theological studies; delivers at; undergraduate qualification),(theological studies; delivers at; postgraduate qualification),(students; prepare for; ordination to priesthood in Catholic Church)"
CS008,"(The Catholic Institute of Sydney; is; a tertiary educational facility),(The Institute; is a member of; Sydney College of Divinity),(It; offers; theological studies),(It; offers; undergraduate studies),(It; offers; postgraduate studies),(Students; prepared for; ordination in Catholic Church),(It; prepare; students)"
CS009,"(Many men; spent day; drinking in pub),(Men; drinking in; pub),(Aim of Expressing Respect to Women; was; lost),(Aim of Expressing Sympathy to Women; was; lost)"
CS010,"(boatman 1; was; hanged),(boatman 2; was; hanged),(Two Boatmen; were; hanged),(Morse; does not believe; they were guilty)"
CS011,"(two boatmen; were; hanged),(Morse; does not believe; they were the perpetrators)"
CS012,"(Few WikiKnights; are ready on; day one),(WikiKnights; are; ready),(WikiKnights; are ready on; day one),(Apprentices; challenged; WikiDragon),(Ancient Scipts; tell of; Apprentices),(apprentices; escape; misadventure)"
CS013,"(Few WikiKnights; ready; on day one),(Ancient scripts; tell of; apprentices),(Apprentices; challenged; WikiDragon),(Apprentices; Fight; WikiDragon),(They; escaped; misadventure),(They; tell about; misadventure)"
CS014,"(Pinocchio; sets; Lorenzini's theatre),(Lorenzini's theatre; on fire; Pinocchio),(Lorenzini; changes; career),(Lorenzini; lures; children),(Lorenzini; lures; pleasure island),(children; be lured; pleasure island),(Children; drink; cursed water),(Water; turn; them),(Them; be turned into; donkeys)"
CS015,"(She; joined; adult movie),(She; join; 14),(She; worked at; Salon),(She; worked; her young auntie's Salon)"
CS016,"(She; joined; adult movie),(She; age at joining; 14),(She; worked at; Salon),(Salon; owned by; auntie),(auntie; relation to; She)"
CS017,"(She; had; restaurant project),(restaurant project; in; Lafayette),(restaurant; have; upstairs dining room),(restaurant; have; downstairs playroom),(The restaurant; was called; Tutti),(It; was; downtown Lafayette),(area; separated for; adults),(area; separated for; children)"
CS018," (She; had; Tutti),(Tutti; located in; downtown Lafayette),(dining room; be in; upstairs),(dining room; be for; adults),(It; have; downstairs playroom),(Downstairs playroom; be; for children)"
CS019,"(Implantation; is; complicated),(Medical Devices; is implanted; complicated),(Infection; cause; Inflammation),(Inflammation; cause; Pain),(Implantation; cause; Infection),(Implantation; cause; Inflammation),(Implantation; cause; Pain),(Invasive Medical Procedures; have; risks),(Medical device implantation; carries; similar complications),(Medical device implantation; carries; other invasive medical procedures),(Other invasive medical procedures; carries; similar complications)"
CS020,"(medical devices; have; complications),(Infection; cause; Pain),(Infection; cause; Inflammation),(Inflammation; cause; Pain),(Procedure; cause; Infection),(Procedure; cause; Inflammation),(Procedure; cause; Pain),(Invasive medical procedures; carry; risks),(Implantation process; associated with; Complications)"
CS021,"(Medical devices; pose; risks of complications),(infection; include; Complications),(inflammation; include; Complications),(pain; include; Complications),(Medical procedure; carries; risk of infection),(Medical procedure; carries; risk of inflammation),(Medical procedure; carries; risk of pain),(Medical devices; cause; pain),(Medical devices; cause; infection),(Medical devices; cause; inflammation)"
CS022,"(Reduce cost; will; This upgrade),(Increase flexibility; will; This upgrade),(Any manufactured CBC; can be configured; for zero to four solid boosters),(performance loss; necessitate; standardized CBC)"
CS023,"(A Control pitcher; has; good control of his pitches),(A Control pitcher; issues; below average number of bases on balls),(A Control pitcher; is skilled at; throwing his pitches)"
CS024,"(A Control pitcher; has; good control),(A Control pitcher; of; his pitches),(A Control pitcher; limits; number of bases on balls),(A pitcher; can be; a Control pitcher),(Control pitcher; exhibit; good control of pitches)"
CS025,"(Long Yun; is; ethnic Yi General),(Long Yun; become; Governor of Yunnan),(Long Yun; be; cousin of Lu Han)"
CS026," (Long Yun; be; ethnic Yi General),(ethnic Yi General; belong to; Long Yun),(Long Yun; became; Governor of Yunnan),(Governor of Yunnan; was; Long Yun),(Long Yun; is a cousin of; Lu Han),(Lu Han; is a cousin of; Long Yun)"
CS027," (Carnaval music; is written for; occasion),(Carnaval Music; is easy to; dance)"
CS028,"(Carnaval music; is often written for; the occasion),(Carnaval Music; is easy to; dance)"
CS029," (Carnaval music; is written for; the occasion),(Carnaval Music; is easy to; dance )"
CS030,"(He; has been; a full professor at ETH Zurich),(He; has been at; ETH Zurich),(He; has been since; 2003),(He; has been; Director of the Institute for Mathematical Research at ETH),(Director of the Institute for Mathematical Research at ETH; since; 2009)"
CS031,"(He; has been; full professor at ETH Zurich),(full professor at ETH Zurich; since; 2003),(He; has been; Director of the Institute for Mathematical Research at ETH),(He; has been; Director since 2009),(Director of the Institute for Mathematical Research at ETH; is; He)"
CS032,"(The winners; met; 2005 National League Championship Series),(Division Series; met; 2005 National League Championship Series),(two Division Series; met; 2005 National League Championship Series),(The winner; became; National League champion),(National League champion; face; American League champion),(2005 World Series; feature; National League champion),(2005 World Series; feature; American League champion)"
CS033,"(The winners; met in; 2005 National League Championship Series),(Two Division Series; met in; 2005 National League Championship Series),(winner; became; National League champion),(National League; face; American League),(2005 World Series; champion; National League),(2005 World Series; champion; American League)"
CS034,"(Alauddin; have; love scenes),(Padmini; have; love scenes),(rumours; are about; Alauddin and Padmini's love scenes),(Shri Rajput Karni Sena; protest; This),(members; accuse; Bhansali),(organization; accuse; Bhansali),(Bhansali; distort; history)"
CS035,"(I; got; computer),(I; was; 7),(It; is; Windows Vista Laptop),(Windows Vista Laptop; is; Inspiron 1525),(I; get; Toshiba Satellite laptop),(Toshiba Satellite laptop; have; Windows 7),(The casing of the Toshiba; started to split; within a year),(The casing of the Toshiba; had an effect on; Toshiba),(Toshiba; was affected by; splitting of the casing)"
CS036,"(I; got; first computer),(I; was; 7),(""It""; ""was""; ""Windows Vista Laptop; Inspiron 1525""),(""Windows Vista Laptop""; ""was""; ""Inspiron 1525""),(I; got; Toshiba Satellite laptop),(Toshiba Satellite laptop; with; Windows 7),(casing; started to split; within a year)"
CS037,"(NPAS2; paralogous to; CLOCK),(CLOCK; plays; key role),(key role; in maintaining; mammalian circadian rhythms),(NPAS2; has a role in; brain),(NPAS2; related to; circadian rhythms),(NPAS2; generate ; mammalian circadian rhythms),(NPAS2; maintain ; mammalian circadian rhythms)"
CS038,"(NPAS2; be paralogous to; CLOCK),(CLOCK; is; key protein),(CLOCK; involves; maintenance of circadian rhythms in mammals),(NPAS2; role; generator),(NPAS2; role; maintainer),(NPAS2; thought to be; generator),(NPAS2; thought to be; maintainer),(mammalian circadian rhythms; maintained by; NPAS2)"
CS039,"(NPAS2; paralogous to; CLOCK),(Clock; Maintain; Circadian Rhythms),(NPAS2; be; generator and maintainer of mammalian circadian rhythms),(NPAS2; role; generator and maintainer of mammalian circadian rhythms),(brain; have; NPAS2)"
CS040,"(Etanercept; is; biologic),(Chemical formulations; have; different laws),(Biologics; have; different laws),(The United States; does not allow; generic biologics),(generic biologics; be produced; not allowed)"
CS041,"(Watanabe; stated; Soka Gakkai),(Soka Gakkai; has challenged; conventional ideas and structures in Japan),(Watanabe; stated; Soka Gakkai),(Soka Gakkai; has challenged; since its beginnings),(Makiguchi; question; imperial system),(Makiguchi; question; popular organizations),(Makiguchi; questioned; public education),(Makiguchi; questioned; armed forces),(Makiguchi; questioned; religious authority)"
CS042,"(Makiguchi; question; imperial system),(Makiguchi; question; established institutions),(Soka Gakkai; challenge; established notions and hierarchies),(Soka Gakkai; begin; its beginnings),(Soka Gakkai; has disrupted; traditional structures in Japan),(Watanabe; stated; that the Soka Gakkai has disrupted traditional structures in Japan since its founding.)"
CS043,"(Merqury Quaye; found; The Awards),(The Awards; is; annual program),(The Awards; is; annual),(It; rewards; Radio DJs),(It; celebrates; Mobile DJs),(It; celebrates; Club DJs),(Its; foster; development),(It; foster; Ghana music industry),(Ghana music industry; develop; It)"
CS044,"(He; released; results),(He; released; day),(report; take; one day)"
CS045,"(He; opened; laboratory of ceramics),(laboratory of ceramics; in; Umbria),(He; operates; between art and craft),(He; does; personal exhibitions),(He; especially in; Holland),(He; participates; numerous collectives),(He; is a member of; numerous collectives)"
CS046,"(Waldo; went to; Rome),(A disciple; went to; Rome),(Waldo and a disciple; went to; Rome),(Waldo and a disciple; went in; 1179),(Pope Alexander III; welcome; them),(them; be welcomed by; Pope Alexander III),(Pope Alexander III; be in; Rome),(Roman Curia; welcomed; them)"
CS047,"(Waldo; went to; Rome),(one of his disciples; went to; Rome),(They; were welcomed by; Pope Alexander III),(Pope Alexander III; welcomed; They),(Pope Alexander III; and; Roman Curia)"
CS048," (The Cliff Bridge; opened in; 1827),(It; improved; access),(It; was; a foretaste),(a foretaste; of; ambitious plans),(ambitious plans; of; It)"
CS049," (The Cliff Bridge; opened in; 1827),(Cliff Bridge; improved; Access),(There; be; ambitious plans),(ambitious plans; be; ahead)"
CS050," (Cliff Bridge; opened in; 8127),(It; improved; access),(It; be; foretaste),(Foretaste; of; ambitious plans),(It; have; ambitious plans)"
