Simple_Sentence_ID,Complex_Sentence_ID,Annotated_Triples,
CS001-SIM-1,CS001,"(She, compiled, crosswords), (James, compiled, crosswords), (She and James, compiled, crosswords), (crosswords, for, multiple newspapers and magazines)",
CS001-SIM-2,CS001,"(They,Started,Publishing company)(Publishing company,Started,1978)",
CS002-SIM-1,CS002,"(Mantell, born in, Bridgwater), (Mantell, born in, Somerset)",
CS002-SIM-2,CS002,"(He, studied at, University of Bath)",
CS003-SIM-1,CS003,"(Mantell, born in, Bridgwater, Somerset)",
CS003-SIM-2,CS003,"(He, studied at, University of Bath)",
CS004-SIM-1,CS004,"(Toby Irwin, was unaware of, situation)",
CS004-SIM-2,CS004,"(Irwin, ended, fight)",
CS004-SIM-3,CS004,"(Campbell,fell to,ground)",
CS005-SIM-1,CS005,"(Yazan Halwani, is a, street artist), (Yazan Halwani, is from, Beirut), (Yazan Halwani, is from, Beirut Lebanon)",
CS005-SIM-2,CS005,"(He, paints, murals), (He, combines, renewed Arabic calligraphy and portraits)",
CS006-SIM-1,CS006," (The Catholic Institute of Sydney, deliver, theological studies)",
CS006-SIM-2,CS006,"(It, provides, undergraduate qualification), (It, provides, postgraduate qualification)",
CS006-SIM-3,CS006,"(students, prepare for, ordination to the priesthood)(It, prepare, students)",
CS006-SIM-4,CS006,"(Sydney College of Divinity, is a member institution of, It)",
CS007-SIM-1,CS007,"(Catholic Institute of Sydney, is, tertiary educational facility)",
CS007-SIM-2,CS007,"(Sydney College of Divinity, is a member institution of, It)",
CS007-SIM-3,CS007,"(It, delivers, theological studies), (theological studies, delivers at, undergraduate qualification), (theological studies, delivers at, postgraduate qualification)",
CS007-SIM-4,CS007,"(students, prepare for, ordination to priesthood in Catholic Church)",
CS008-SIM-1,CS008,"(The Catholic Institute of Sydney, is, a tertiary educational facility)",
CS008-SIM-2,CS008,"(The Institute, is a member of, Sydney College of Divinity)",
CS008-SIM-3,CS008,"(It, offers, theological studies), (It, offers, undergraduate studies), (It, offers, postgraduate studies)",
CS008-SIM-4,CS008,"(Students, prepared for, ordination in Catholic Church) (It, prepare, students)",
CS009-SIM-1,CS009,"(Many men, spent day, drinking in pub) (Men, drinking in, pub)",
CS009-SIM-2,CS009,"(Aim of Expressing Respect to Women, was, lost) (Aim of Expressing Sympathy to Women, was, lost)",
CS010-SIM-1,CS010,"(boatman 1, was, hanged) (boatman 2, was, hanged) (Two Boatmen, were, hanged)",
CS010-SIM-2,CS010,"(Morse, does_not_believe, they were guilty)",
CS011-SIM-1,CS011,"(two boatmen, were, hanged)",
CS011-SIM-2,CS011,"(Morse, does not believe, they were the perpetrators)",
CS012-SIM-1,CS012,"(Few WikiKnights, are ready, on day one) (WikiKnights, are, ready) (WikiKnights, are ready, on day one)",
CS012-SIM-2,CS012,"(Apprentices, challenged, WikiDragon) (Ancient Scipts, tell of, Apprentices) ",
CS012-SIM-3,CS012,"(apprentices, escape, misadventure)",
CS013-SIM-1,CS013,"(Few WikiKnights, ready, on day one)",
CS013-SIM-2,CS013,"(Ancient scripts, tell of, apprentices)",
CS013-SIM-3,CS013,"(Apprentices, challenged, WikiDragon) (Apprentices, Fight, WikiDragon)",
CS013-SIM-4,CS013,"(They, escaped, misadventure); (They, tell about, misadventure)",
CS014-SIM-1,CS014,"(Pinocchio, sets, Lorenzini's theatre), (Lorenzini's theatre, on fire, Pinocchio)",
CS014-SIM-2,CS014,"(Lorenzini, changes, career)",
CS014-SIM-3,CS014,"(Lorenzini, lures, children) (Lorenzini,lures, pleasure island) (children, be lured, pleasure island)",
CS014-SIM-4,CS014,"(Children, drink, cursed water)",
CS014-SIM-5,CS014,"(Water, turn, them) (Them, be turned into, donkeys)",
CS015-SIM-1,CS015,"(She, joined, adult movie) (She, join, 14)",
CS015-SIM-2,CS015,"(She, worked at, Salon) (She, worked, her young auntie's Salon)",
CS016-SIM-1,CS016,"(She, joined, adult movie) (She, age at joining, 14)",
CS016-SIM-2,CS016,"(She, worked at, Salon), (Salon, owned by, auntie), (auntie, relation to, She)",
CS017-SIM-1,CS017,"(She, had, restaurant project), (restaurant project, in, Lafayette)",
CS017-SIM-2,CS017,"(restaurant, have, upstairs dining room) (restaurant, have, downstairs playroom)",
CS017-SIM-3,CS017,"(The restaurant, was called, Tutti)",
CS017-SIM-4,CS017,"(It,was,downtown Lafayette)",
CS017-SIM-5,CS017,"(area, separated for, adults), (area,separated for,children)",
CS018-SIM-1,CS018," (She, had, Tutti)",
CS018-SIM-2,CS018,"(Tutti, is_located_in, downtown Lafayette)",
CS018-SIM-3,CS018,"(dining room, be in, upstairs), (dining room, be for, adults)",
CS018-SIM-4,CS018,"(It, have, downstairs playroom) (Downstairs playroom, be, for children)",
CS019-SIM-1,CS019,"(Implantation,is,complicated), (Medical Devices, is implanted, complicated)",
CS019-SIM-2,CS019,"(Infection, cause, Inflammation) (Inflammation, cause, Pain) (Implantation, cause, Infection) (Implantation, cause, Inflammation) (Implantation, cause, Pain)",
